CVE_ID,EPSS_Score,EPSS_Percentile
CVE-2021-39968,0.00655,0.48874
CVE-2021-39967,0.00643,0.48338
CVE-2021-39966,0.00679,0.49835
CVE-2021-39143,0.00344,0.27166
CVE-2021-38576,0.01165,0.65081
CVE-2021-38542,0.02347,0.82463
CVE-2021-3845,0.01227,0.66747
CVE-2021-3842,0.01461,0.71726
CVE-2021-3837,0.00522,0.42199
CVE-2021-37134,0.00493,0.4034
CVE-2021-37133,0.00679,0.49837
CVE-2021-37132,0.00512,0.4159
CVE-2021-37128,0.00874,0.56428
CVE-2021-37126,0.00828,0.54968
CVE-2021-37125,0.00672,0.49548
CVE-2021-37121,0.00741,0.52102
CVE-2021-37120,0.00888,0.5678
CVE-2021-37119,0.00675,0.49674
CVE-2021-37118,0.00541,0.43304
CVE-2021-37117,0.00675,0.49674
CVE-2021-37116,0.00741,0.52104
CVE-2021-37114,0.00546,0.43608
CVE-2021-37113,0.00679,0.49835
CVE-2021-37112,0.00483,0.39675
CVE-2021-37111,0.00675,0.49675
CVE-2021-37110,0.00679,0.49836
CVE-2021-37098,0.00655,0.48877
CVE-2021-34797,0.02894,0.85937
CVE-2021-31833,0.00251,0.16336
CVE-2021-24042,0.01242,0.67089
CVE-2021-20872,0.003,0.22122
CVE-2021-20871,0.0052,0.42096
CVE-2021-20870,0.00298,0.21948
CVE-2021-20869,0.00532,0.42843
CVE-2021-20868,0.00436,0.36369
CVE-2021-20148,0.01116,0.63752
CVE-2021-20147,0.069,0.936
CVE-2020-23026,0.0104,0.61562
CVE-2022-22707,0.08969,0.94879
CVE-2022-22704,0.01334,0.69143
CVE-2022-22111,0.00996,0.60241
CVE-2022-22110,0.01122,0.63895
CVE-2022-22109,0.00531,0.42774
CVE-2022-22108,0.0068,0.49862
CVE-2022-22107,0.0068,0.49862
CVE-2022-21664,0.03752,0.89095
CVE-2022-21663,0.03695,0.88921
CVE-2022-21662,0.64529,0.99178
CVE-2022-21661,0.97795,0.99901
CVE-2022-21653,0.00793,0.53833
CVE-2022-21652,0.00792,0.5378
CVE-2022-21651,0.00774,0.53203
CVE-2022-21650,0.00831,0.5504
CVE-2022-21649,0.00932,0.58226
CVE-2022-21648,0.00817,0.54616
CVE-2022-21642,0.00727,0.51628
CVE-2022-0128,0.01739,0.76092
CVE-2022-0122,0.00839,0.55292
CVE-2022-0121,0.01195,0.65848
CVE-2021-46145,0.03365,0.87875
CVE-2021-46144,0.01045,0.6173
CVE-2021-46143,0.0379,0.89207
CVE-2021-46142,0.01095,0.63182
CVE-2021-46141,0.01131,0.64122
CVE-2021-46080,0.0058,0.45355
CVE-2021-46079,0.03309,0.87678
CVE-2021-46078,0.01261,0.67538
CVE-2021-46076,0.03306,0.87668
CVE-2021-46075,0.02616,0.84338
CVE-2021-46074,0.01142,0.64391
CVE-2021-46073,0.02759,0.85216
